Extract.Date,LA.Code,LA.Name,Breakdown.Field,Breakdown.Value,Patient.Count,LAD19NM,pop19,age65plus,pct_over65_18,RGN19CD,RGN19NM,Shielders_pct,rank_imd,decile_imd,quintile_imd,rank_income,decile_income,quintile_income
16/09/2020,E07000047,West Devon,ALL,ALL,2395,West Devon,55796,15609,27.9751236647788,E12000009,South West,4.29242239587067,162,6,3,188,6,3
16/09/2020,E06000021,Stoke-on-Trent,ALL,ALL,11000,Stoke-on-Trent,256375,44056,17.1842028278888,E12000005,West Midlands,4.29058995611897,14,1,1,25,1,1
16/09/2020,E08000008,Tameside,ALL,ALL,9690,Tameside,226493,40026,17.6720693354762,E12000002,North West,4.27827791587378,28,1,1,37,2,1
16/09/2020,E07000145,Great Yarmouth,ALL,ALL,4230,Great Yarmouth,99336,24265,24.4271965853266,E12000006,East of England,4.25827494563904,20,1,1,32,1,1
16/09/2020,E07000091,New Forest,ALL,ALL,7645,New Forest,180086,52707,29.2676832180181,E12000008,South East,4.2451939628844,240,8,4,248,8,4
16/09/2020,E07000245,West Suffolk,ALL,ALL,7600,West Suffolk,179045,38018,21.233768047139,E12000006,East of England,4.24474294171856,188,6,3,231,8,4
16/09/2020,E06000011,East Riding of Yorkshire,ALL,ALL,14480,East Riding of Yorkshire,341173,89346,26.187887083679,E12000003,Yorkshire and The Humber,4.24418110460089,202,7,4,194,7,4
16/09/2020,E07000030,Eden,ALL,ALL,2260,Eden,53253,14353,26.9524721611928,E12000002,North West,4.24389236287158,186,6,3,265,9,5
16/09/2020,E07000063,Lewes,ALL,ALL,4370,Lewes,103268,26685,25.8405314327769,E12000008,South East,4.23170778944107,198,7,4,186,6,3
16/09/2020,E07000117,Burnley,ALL,ALL,3755,Burnley,88920,16669,18.7460638776428,E12000002,North West,4.22289698605488,8,1,1,13,1,1
16/09/2020,E07000080,Forest of Dean,ALL,ALL,3665,Forest of Dean,86791,21454,24.7191529075595,E12000009,South West,4.22278807710477,163,6,3,168,6,3
16/09/2020,E07000085,East Hampshire,ALL,ALL,5135,East Hampshire,122308,28605,23.3876770121333,E12000008,South East,4.19841711090035,285,9,5,288,10,5
16/09/2020,E07000029,Copeland,ALL,ALL,2860,Copeland,68183,15502,22.7358725782086,E12000002,North West,4.19459396037135,85,3,2,109,4,2
16/09/2020,E08000034,Kirklees,ALL,ALL,18425,Kirklees,439787,78097,17.7579146268535,E12000003,Yorkshire and The Humber,4.18952811247263,83,3,2,87,3,2
16/09/2020,E07000174,Mansfield,ALL,ALL,4570,Mansfield,109313,21253,19.4423353123599,E12000004,East Midlands,4.18065554874535,46,2,1,61,2,1
